rank,cluster_id,violation_count,center_lat,center_lon,top_violation_types,matched_junction,police_stations
1,1,59579,12.972116508941404,77.5774078013644,"{'WRONG PARKING': 36896, 'NO PARKING': 23127, 'PARKING IN A MAIN ROAD': 1913}",BTP082 - KR Market Junction,"['Chamarajpet', 'City Market', 'Halasuru Gate', 'High ground', 'No Police Station', 'Sheshadripuram', 'Upparpet', 'V.V.Puram (C.Pet)']"
2,17,25073,12.981972068341243,77.60800248859769,"{'WRONG PARKING': 15439, 'NO PARKING': 9674, 'DEFECTIVE NUMBER PLATE': 1044}",BTP051 - Safina Plaza Junction,"['Cubbon Park', 'Halasur', 'Pulikeshinagar(F.Town)', 'Shivajinagar']"
3,26,10275,13.010160955837469,77.55334369474551,"{'WRONG PARKING': 6495, 'NO PARKING': 3821, 'DEFECTIVE NUMBER PLATE': 186}","BTP001 - 10th Cross, Dr. Rajkumar Road","['Malleshwaram', 'No Police Station', 'Rajajinagar']"
4,2,10149,12.998952833368804,77.55012404361415,"{'WRONG PARKING': 7288, 'NO PARKING': 2868, 'PARKING IN A MAIN ROAD': 188}",BTP027 - Modi Bridge Junction,"['Malleshwaram', 'Rajajinagar', 'Sheshadripuram', 'Vijayanagara']"
5,125,9790,12.933385363364657,77.69015565135138,"{'NO PARKING': 6143, 'WRONG PARKING': 4489, 'PARKING IN A MAIN ROAD': 2194}",UNCATALOGUED (no official junction tag),['HAL Old Airport']
6,19,9592,13.000174029397414,77.57118681816097,"{'WRONG PARKING': 5089, 'NO PARKING': 4520, 'DEFECTIVE NUMBER PLATE': 82}",BTP054 - Shivananda Circle,"['Malleshwaram', 'Sadashivanagar', 'Sheshadripuram']"
7,53,8366,12.974486986925651,77.54735482299904,"{'NO PARKING': 4910, 'WRONG PARKING': 3498, 'DEFECTIVE NUMBER PLATE': 228}",BTP020 - Hosahalli Metro Station,"['Magadi Road', 'No Police Station', 'Vijayanagara']"
8,25,5779,13.071024930211108,77.58841289437274,"{'WRONG PARKING': 4130, 'NO PARKING': 1656, 'DEFECTIVE NUMBER PLATE': 227}",UNCATALOGUED (no official junction tag),"['Hebbala', 'Kodigehalli', 'Yelahanka']"
9,23,4967,12.988701330179184,77.55272791051742,"{'WRONG PARKING': 3619, 'NO PARKING': 1357, 'PARKING IN A MAIN ROAD': 219}","BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road","['Magadi Road', 'Rajajinagar', 'Vijayanagara']"
10,5,4741,12.967223564891373,77.5379002265176,"{'WRONG PARKING': 3337, 'NO PARKING': 1429, 'DEFECTIVE NUMBER PLATE': 96}","BTP016 - 5th Main Road, RPC Layout","['No Police Station', 'Vijayanagara']"
11,160,4652,13.185398476977644,77.68008891608555,"{'NO PARKING': 2934, 'WRONG PARKING': 1734, 'PARKING IN A MAIN ROAD': 870}",UNCATALOGUED (no official junction tag),"['Chikkajala', 'Devanahalli Airport']"
12,45,4299,12.943144886115375,77.69783466231216,"{'WRONG PARKING': 3283, 'PARKING IN A MAIN ROAD': 2559, 'NO PARKING': 1325}",UNCATALOGUED (no official junction tag),['HAL Old Airport']
13,4,4152,13.008468825069846,77.69537252584777,"{'WRONG PARKING': 3005, 'NO PARKING': 1230, 'PARKING IN A MAIN ROAD': 1172}",UNCATALOGUED (no official junction tag),['K.R. Pura']
14,42,3320,13.035575759503013,77.5890642955512,"{'NO PARKING': 2500, 'WRONG PARKING': 821, 'DEFECTIVE NUMBER PLATE': 231}",UNCATALOGUED (no official junction tag),"['Hebbala', 'Kodigehalli']"
15,49,2910,12.992570789415808,77.58893392441237,"{'WRONG PARKING': 2178, 'NO PARKING': 735, 'DEFECTIVE NUMBER PLATE': 68}",BTP032 - Windsor Circle,['High ground']
16,106,2829,12.973485484655354,77.61859273881937,"{'NO PARKING': 2316, 'WRONG PARKING': 595, 'PARKING IN A MAIN ROAD': 160}",UNCATALOGUED (no official junction tag),"['Ashok Nagar', 'Cubbon Park', 'Halasur']"
17,363,2761,12.96316123564288,77.7171742549149,"{'WRONG PARKING': 2619, 'NO PARKING': 161, 'PARKING IN A MAIN ROAD': 74}",UNCATALOGUED (no official junction tag),"['HAL Old Airport', 'Whitefield']"
18,71,2603,12.996672028582404,77.61237718063772,"{'NO PARKING': 1769, 'WRONG PARKING': 839, 'PARKING ON FOOTPATH': 174}",UNCATALOGUED (no official junction tag),['Pulikeshinagar(F.Town)']
19,38,2454,12.969100310399348,77.64339486277099,"{'NO PARKING': 1839, 'WRONG PARKING': 902, 'PARKING IN A MAIN ROAD': 516}","BTP148 - 17th Main, Doopanahalli Bus Stop",['Jeevanbheemanagar']
20,15,2240,12.944050127267857,77.57130956260266,"{'WRONG PARKING': 1385, 'NO PARKING': 862, 'PARKING IN A MAIN ROAD': 85}",BTP108 - Tagore Park Junction,['Basavanagudi']
21,43,2171,12.928690483740212,77.58310224767388,"{'NO PARKING': 1858, 'WRONG PARKING': 434, 'PARKING IN A MAIN ROAD': 134}","BTP189 - New Diagonal Road, Jayanagar",['Jayanagara']
22,7,2101,12.981284074297953,77.59846400514041,"{'WRONG PARKING': 1243, 'NO PARKING': 858, 'DEFECTIVE NUMBER PLATE': 68}",BTP042 - Minsk Square Junction (CTO),"['Cubbon Park', 'Shivajinagar']"
23,3,2066,13.000342251500484,77.67692248184414,"{'NO PARKING': 1298, 'WRONG PARKING': 796, 'PARKING IN A MAIN ROAD': 650}",UNCATALOGUED (no official junction tag),"['Banaswadi', 'K.R. Pura', 'Mahadevapura']"
24,138,1994,12.996300292988968,77.6686134605667,"{'WRONG PARKING': 1422, 'PARKING IN A MAIN ROAD': 1263, 'NO PARKING': 701}",UNCATALOGUED (no official junction tag),"['Banaswadi', 'K.R. Pura', 'Mahadevapura']"
25,91,1979,12.926962751551287,77.67872296305205,"{'WRONG PARKING': 1196, 'NO PARKING': 788, 'DEFECTIVE NUMBER PLATE': 18}",UNCATALOGUED (no official junction tag),"['Bellandur', 'HAL Old Airport']"
26,162,1916,12.841850379572026,77.64600091764615,"{'WRONG PARKING': 1149, 'NO PARKING': 768, 'DEFECTIVE NUMBER PLATE': 53}",UNCATALOGUED (no official junction tag),['Electronic City']
27,145,1861,12.91221365609887,77.63607477816767,"{'NO PARKING': 1020, 'WRONG PARKING': 841, 'DEFECTIVE NUMBER PLATE': 30}",UNCATALOGUED (no official junction tag),['HSR Layout']
28,6,1819,12.957792350989555,77.701553485569,"{'NO PARKING': 1361, 'WRONG PARKING': 518, 'PARKING IN A MAIN ROAD': 247}",UNCATALOGUED (no official junction tag),['HAL Old Airport']
29,21,1802,12.953307469162043,77.54246006034963,"{'WRONG PARKING': 1078, 'NO PARKING': 726, 'PARKING IN A MAIN ROAD': 265}",BTP096 - Gali Anjaneya Temple,['Byatarayanapura']
30,37,1801,12.975693178323153,77.55968211779567,"{'WRONG PARKING': 921, 'NO PARKING': 883, 'DEFECTIVE NUMBER PLATE': 95}",BTP074 - Leprosy Hospital Junction,['Magadi Road']
31,28,1634,12.972533171401471,77.60718338687883,"{'NO PARKING': 1229, 'WRONG PARKING': 466, 'PARKING IN A MAIN ROAD': 129}",BTP051 - Safina Plaza Junction,"['Ashok Nagar', 'Cubbon Park']"
32,59,1463,12.959792234661652,77.64688073155844,"{'NO PARKING': 1414, 'PARKING IN A MAIN ROAD': 116, 'WRONG PARKING': 87}","BTP148 - 17th Main, Doopanahalli Bus Stop",['Jeevanbheemanagar']
33,56,1415,12.995543320466432,77.69575628973851,"{'NO PARKING': 860, 'WRONG PARKING': 587, 'PARKING IN A MAIN ROAD': 375}",UNCATALOGUED (no official junction tag),['Mahadevapura']
34,75,1397,12.935480030422335,77.61528131839657,"{'NO PARKING': 1134, 'WRONG PARKING': 323, 'PARKING IN A MAIN ROAD': 94}",BTP135 - UCO Bank Junction,['Adugodi']
35,57,1323,13.005739005427062,77.6858773579214,"{'WRONG PARKING': 1008, 'NO PARKING': 317, 'PARKING IN A MAIN ROAD': 115}",UNCATALOGUED (no official junction tag),['K.R. Pura']
36,280,1290,12.962026276589146,77.59824138031009,"{'NO PARKING': 1166, 'WRONG PARKING': 124, 'DEFECTIVE NUMBER PLATE': 21}",BTP172 - Nanjappa Circle,['Ashok Nagar']
37,175,1210,13.027855494818184,77.57471985209091,"{'WRONG PARKING': 833, 'NO PARKING': 377, 'DEFECTIVE NUMBER PLATE': 39}",UNCATALOGUED (no official junction tag),"['Kodigehalli', 'Sadashivanagar']"
38,342,1210,12.971740350710743,77.65810233636364,"{'NO PARKING': 1189, 'PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC': 92, 'DEFECTIVE NUMBER PLATE': 81}",UNCATALOGUED (no official junction tag),"['Banaswadi', 'Jeevanbheemanagar']"
39,115,1163,12.906495464342218,77.62999101938951,"{'WRONG PARKING': 933, 'NO PARKING': 256, 'PARKING IN A MAIN ROAD': 160}",UNCATALOGUED (no official junction tag),"['HSR Layout', 'Madiwala']"
40,85,1069,13.04749421169317,77.57561952217026,"{'WRONG PARKING': 779, 'NO PARKING': 290, 'DEFECTIVE NUMBER PLATE': 73}",UNCATALOGUED (no official junction tag),['Kodigehalli']
41,132,1037,12.971405462970106,77.59733625583414,"{'NO PARKING': 931, 'WRONG PARKING': 106, 'PARKING IN A MAIN ROAD': 49}",BTP063 - Siddalingaiah Circle,['Cubbon Park']
42,64,1012,12.989448443972332,77.59974147579051,"{'WRONG PARKING': 659, 'NO PARKING': 355, 'DEFECTIVE NUMBER PLATE': 32}",BTP171 - Indian Express (Balekundri),"['High ground', 'Shivajinagar']"
43,140,1004,12.988720073496015,77.53772722434265,"{'WRONG PARKING': 904, 'NO PARKING': 107, 'PARKING IN A MAIN ROAD': 65}",BTP208 - Havanur Circle,"['Kamakshipalya', 'Magadi Road', 'Vijayanagara']"
44,27,944,12.892171348442798,77.63788451038137,"{'WRONG PARKING': 899, 'NO PARKING': 46, 'DOUBLE PARKING': 33}",UNCATALOGUED (no official junction tag),"['Electronic City', 'HSR Layout', 'Hulimavu', 'Madiwala']"
45,8,943,12.955978730222695,77.58549439183459,"{'NO PARKING': 736, 'WRONG PARKING': 207, 'PARKING IN A MAIN ROAD': 13}",BTP192 - Urvashi Theater,"['City Market', 'Wilson Garden']"
46,547,938,12.960828597729211,77.52826737252666,"{'WRONG PARKING': 898, 'NO PARKING': 119, 'DEFECTIVE NUMBER PLATE': 29}",BTP017 - Attiguppe Circle,['Byatarayanapura']
47,20,917,13.19126163384951,77.64623399100326,"{'NO PARKING': 797, 'PARKING IN A MAIN ROAD': 323, 'WRONG PARKING': 127}",UNCATALOGUED (no official junction tag),['Chikkajala']
48,169,873,13.062834875830468,77.58926730229095,"{'WRONG PARKING': 716, 'NO PARKING': 164, 'PARKING NEAR ROAD CROSSING': 64}",UNCATALOGUED (no official junction tag),['Kodigehalli']
49,134,851,12.993639674618096,77.66268197367802,"{'NO PARKING': 485, 'WRONG PARKING': 366, 'DEFECTIVE NUMBER PLATE': 9}",UNCATALOGUED (no official junction tag),['Banaswadi']
50,127,834,12.97211122057554,77.71173147735013,"{'WRONG PARKING': 505, 'NO PARKING': 343, 'PARKING IN A MAIN ROAD': 150}",UNCATALOGUED (no official junction tag),"['HAL Old Airport', 'Mahadevapura']"
51,239,823,12.96436952818955,77.55398721725396,"{'NO PARKING': 567, 'WRONG PARKING': 263, 'PARKING IN A MAIN ROAD': 127}",BTP091 - Sirsi Circle,['Magadi Road']
52,95,764,12.980426610314137,77.55676144537959,"{'NO PARKING': 560, 'WRONG PARKING': 207, 'PARKING IN A MAIN ROAD': 70}",BTP010 - Rajajinagar Entrance,['Magadi Road']
53,176,763,13.097095673001311,77.59950151231979,"{'WRONG PARKING': 475, 'NO PARKING': 288, 'DEFECTIVE NUMBER PLATE': 53}",UNCATALOGUED (no official junction tag),['Yelahanka']
54,77,697,12.932259780200862,77.63174485050214,"{'NO PARKING': 657, 'WRONG PARKING': 71, 'PARKING IN A MAIN ROAD': 30}",UNCATALOGUED (no official junction tag),"['Adugodi', 'Ashok Nagar']"
55,29,687,12.978187651673942,77.59099522285298,"{'NO PARKING': 642, 'PARKING IN A MAIN ROAD': 71, 'WRONG PARKING': 45}",BTP041 - Gopal Gowda Circle,['Cubbon Park']
56,229,650,13.025111618276922,77.58532248858461,"{'WRONG PARKING': 389, 'NO PARKING': 261, 'DEFECTIVE NUMBER PLATE': 35}",UNCATALOGUED (no official junction tag),"['Hebbala', 'Kodigehalli', 'R.T. Nagar', 'Sadashivanagar']"
57,226,638,13.017864125078368,77.53158778307211,"{'WRONG PARKING': 334, 'NO PARKING': 304, 'PARKING IN A MAIN ROAD': 160}",UNCATALOGUED (no official junction tag),['Rajajinagar']
58,322,606,12.913685700825082,77.60649879851486,"{'NO PARKING': 602, 'WRONG PARKING': 6, 'DEFECTIVE NUMBER PLATE': 1}","BTP163 - 16th Main Road, BTM Layout",['Mico Layout']
59,395,600,12.92530973295,77.61875725328333,"{'NO PARKING': 569, 'WRONG PARKING': 33, 'PARKING IN A MAIN ROAD': 8}",BTP137 - Madiwala Traffic PS Junction,['Madiwala']
60,468,599,12.908067844240401,77.60079148764606,"{'NO PARKING': 569, 'WRONG PARKING': 31, 'DEFECTIVE NUMBER PLATE': 20}",BTP130 - GD Mara Junction,"['J.P. Nagar', 'Mico Layout']"
61,11,574,12.968292738763065,77.58775415930312,"{'NO PARKING': 350, 'WRONG PARKING': 226, 'DEFECTIVE NUMBER PLATE': 9}",BTP076 - Hudson Circle,"['Cubbon Park', 'Halasuru Gate']"
62,173,571,12.899700995674255,77.67546458446584,"{'NO PARKING': 348, 'WRONG PARKING': 223, 'DEFECTIVE NUMBER PLATE': 10}",UNCATALOGUED (no official junction tag),['Bellandur']
63,578,569,12.987589608787347,77.73467942337435,"{'PARKING ON FOOTPATH': 557, 'WRONG PARKING': 499, 'NO PARKING': 218}",UNCATALOGUED (no official junction tag),"['Mahadevapura', 'Whitefield']"
64,44,567,12.983721084638447,77.56135305051146,"{'WRONG PARKING': 288, 'NO PARKING': 280, 'DEFECTIVE NUMBER PLATE': 19}",BTP010 - Rajajinagar Entrance,"['Magadi Road', 'Rajajinagar', 'Sheshadripuram']"
65,13,563,12.916891727637656,77.5736022915453,"{'NO PARKING': 449, 'WRONG PARKING': 120, 'DEFECTIVE NUMBER PLATE': 28}","BTP115 - Sahasra Hospital, Jayanagar","['Banashankari', 'Jayanagara', 'K.S. Layout']"
66,220,560,12.885702004357144,77.64156527839285,"{'WRONG PARKING': 557, 'DEFECTIVE NUMBER PLATE': 3, 'NO PARKING': 3}",UNCATALOGUED (no official junction tag),"['Electronic City', 'Hulimavu']"
67,81,547,12.970529405301646,77.54629371499085,"{'NO PARKING': 427, 'WRONG PARKING': 120, 'PARKING ON FOOTPATH': 10}",BTP020 - Hosahalli Metro Station,"['Magadi Road', 'Vijayanagara']"
68,174,526,13.030617311368822,77.53630231756655,"{'WRONG PARKING': 430, 'NO PARKING': 110, 'DEFECTIVE NUMBER PLATE': 82}",UNCATALOGUED (no official junction tag),['Yeshwanthpura']
69,16,518,12.983626605347492,77.5774825338417,"{'NO PARKING': 378, 'WRONG PARKING': 141, 'DEFECTIVE NUMBER PLATE': 17}",BTP054 - Shivananda Circle,"['High ground', 'Sheshadripuram']"
70,388,513,12.957300440740742,77.51883318109162,"{'NO PARKING': 260, 'WRONG PARKING': 257, 'PARKING IN A MAIN ROAD': 131}",UNCATALOGUED (no official junction tag),"['Byatarayanapura', 'Jnanabharathi']"
71,35,485,12.978349331793815,77.64007563686597,"{'NO PARKING': 406, 'WRONG PARKING': 170, 'PARKING IN A MAIN ROAD': 81}",UNCATALOGUED (no official junction tag),['Jeevanbheemanagar']
72,284,477,12.928986769413,77.6951306537107,"{'NO PARKING': 312, 'WRONG PARKING': 239, 'PARKING IN A MAIN ROAD': 236}",UNCATALOGUED (no official junction tag),"['Bellandur', 'HAL Old Airport']"
73,65,476,12.960957540756302,77.51165474054622,"{'NO PARKING': 254, 'WRONG PARKING': 226, 'PARKING IN A MAIN ROAD': 17}",UNCATALOGUED (no official junction tag),['Jnanabharathi']
74,277,474,12.979121340611815,77.69517248913502,"{'NO PARKING': 376, 'WRONG PARKING': 194, 'PARKING IN A MAIN ROAD': 182}",UNCATALOGUED (no official junction tag),['Mahadevapura']
75,368,473,13.050046716490487,77.59313256553911,"{'NO PARKING': 304, 'WRONG PARKING': 215, 'DEFECTIVE NUMBER PLATE': 19}",UNCATALOGUED (no official junction tag),"['Hebbala', 'Kodigehalli']"
76,153,461,13.022919570715837,77.59289712060739,"{'WRONG PARKING': 347, 'NO PARKING': 114, 'DEFECTIVE NUMBER PLATE': 19}",UNCATALOGUED (no official junction tag),['R.T. Nagar']
77,290,446,12.939414595291481,77.58399585964123,"{'WRONG PARKING': 313, 'NO PARKING': 133, 'DEFECTIVE NUMBER PLATE': 10}","BTP186 - 9th Cross, 4th Main, Jayanagar",['Wilson Garden']
78,10,440,12.941651848295454,77.56709229559092,"{'NO PARKING': 289, 'WRONG PARKING': 151, 'PARKING IN A MAIN ROAD': 5}",UNCATALOGUED (no official junction tag),['Basavanagudi']
79,67,434,12.937392658663592,77.58496071175117,"{'NO PARKING': 257, 'WRONG PARKING': 177, 'DEFECTIVE NUMBER PLATE': 13}",BTP218 - Syndicate Bank Junction,"['Jayanagara', 'Wilson Garden']"
80,87,432,13.007739183101851,77.5268157023148,"{'NO PARKING': 382, 'PARKING IN A MAIN ROAD': 223, 'WRONG PARKING': 50}",UNCATALOGUED (no official junction tag),['Rajajinagar']
81,92,429,12.957074385780887,77.58113337272727,"{'WRONG PARKING': 371, 'NO PARKING': 62, 'PARKING IN A MAIN ROAD': 32}",BTP167 - JC Road Junction,"['City Market', 'Halasuru Gate', 'V.V.Puram (C.Pet)']"
82,222,424,12.91208790851415,77.62590320669813,"{'WRONG PARKING': 268, 'NO PARKING': 159, 'DEFECTIVE NUMBER PLATE': 13}",UNCATALOGUED (no official junction tag),"['HSR Layout', 'Madiwala', 'Mico Layout']"
83,161,415,12.876261392048194,77.59587475180723,"{'NO PARKING': 276, 'WRONG PARKING': 140, 'DEFECTIVE NUMBER PLATE': 8}",UNCATALOGUED (no official junction tag),"['Hulimavu', 'J.P. Nagar']"
84,0,410,12.921344055682928,77.66649431478048,"{'WRONG PARKING': 332, 'NO PARKING': 80, 'PARKING IN A MAIN ROAD': 7}",UNCATALOGUED (no official junction tag),['Bellandur']
85,236,407,12.840486272309583,77.67687141918918,"{'NO PARKING': 247, 'WRONG PARKING': 162, 'PARKING IN A MAIN ROAD': 82}",UNCATALOGUED (no official junction tag),['Electronic City']
86,116,398,13.093633304522612,77.59422112336684,"{'WRONG PARKING': 334, 'NO PARKING': 64, 'DEFECTIVE NUMBER PLATE': 12}",UNCATALOGUED (no official junction tag),['Yelahanka']
87,354,391,13.035016913043478,77.62463378158569,"{'NO PARKING': 384, 'WRONG PARKING': 7}",UNCATALOGUED (no official junction tag),['K.G. Halli']
88,82,389,12.929077397943447,77.6094671655527,"{'WRONG PARKING': 294, 'PARKING IN A MAIN ROAD': 248, 'NO PARKING': 95}",BTP140 - Madiwala Check Post,"['Madiwala', 'Mico Layout']"
89,114,387,13.027473236950906,77.54276098475452,"{'NO PARKING': 335, 'WRONG PARKING': 55, 'PARKING IN A MAIN ROAD': 31}",UNCATALOGUED (no official junction tag),['Yeshwanthpura']
90,302,383,12.951434,77.7174957034987,"{'WRONG PARKING': 347, 'PARKING IN A MAIN ROAD': 259, 'NO PARKING': 66}",UNCATALOGUED (no official junction tag),['Whitefield']
91,165,382,13.01889377078534,77.55773333502619,"{'NO PARKING': 216, 'WRONG PARKING': 175, 'PARKING IN A MAIN ROAD': 51}",UNCATALOGUED (no official junction tag),['Yeshwanthpura']
92,151,376,12.870487501675532,77.65476493787234,"{'WRONG PARKING': 290, 'NO PARKING': 90, 'PARKING IN A MAIN ROAD': 43}",UNCATALOGUED (no official junction tag),['Electronic City']
93,33,371,12.913044922210242,77.67961255902965,"{'NO PARKING': 190, 'WRONG PARKING': 182, 'DEFECTIVE NUMBER PLATE': 8}",UNCATALOGUED (no official junction tag),['Bellandur']
94,324,365,12.935958328767123,77.51782852684931,"{'WRONG PARKING': 291, 'NO PARKING': 75, 'PARKING IN A MAIN ROAD': 18}",UNCATALOGUED (no official junction tag),['Byatarayanapura']
95,105,362,12.93091806961326,77.6065882480663,"{'NO PARKING': 303, 'WRONG PARKING': 59, 'PARKING IN A MAIN ROAD': 17}",BTP136 - Hosur-Tavarkere Road Junction,['Mico Layout']
96,154,360,12.989650104083335,77.5018998948889,"{'NO PARKING': 252, 'WRONG PARKING': 124, 'PARKING IN A MAIN ROAD': 17}",UNCATALOGUED (no official junction tag),['Kamakshipalya']
97,40,355,12.996662197183099,77.58425623577465,"{'NO PARKING': 217, 'WRONG PARKING': 167, 'DOUBLE PARKING': 44}",BTP032 - Windsor Circle,"['High ground', 'Sheshadripuram']"
98,164,344,12.888586657267442,77.56267040968024,"{'NO PARKING': 303, 'WRONG PARKING': 42, 'DEFECTIVE NUMBER PLATE': 4}",UNCATALOGUED (no official junction tag),"['K.S. Layout', 'Thalagattapura']"
99,58,335,12.97934624355224,77.62907943101493,"{'WRONG PARKING': 281, 'NO PARKING': 230, 'PARKING IN A MAIN ROAD': 166}",UNCATALOGUED (no official junction tag),"['Halasur', 'Jeevanbheemanagar']"
